#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Comment|Ainotes


#Text=Mnogo je siromaštva i nezaposlenosti.
93-6	7175-7180	imena	N	NOUN	_	_	ime	_	_	_	ENG30-06333653-n	3	ENG30-06333653-n;ENG30-06337307-n;ENG30-10344443-n	*	simple_wsd - ENG30-06333653-n:0.8844::Jezička jedinica po kojoj je poznata osoba ili stvar ili objekat ili pojava iz prirode - ENG30-06337307-n:0.7560::ime koje prethodi prezimenu - ENG30-10344443-n:0.7000::poznata ili značajna osoba	
93-7	7181-7191	mitološkog	A	ADJ	_	_	mitološki	_	_	_	ENG30-02845182-a	2	ENG30-01936184-a;ENG30-02845182-a	*	simple_wsd - ENG30-02845182-a:0.8703::koji se odnosi na mitologiju, koji se obrađuje u mitovima - ENG30-01936184-a:0.5062::koji se zasniva na tradicioalnim pričama i predanjima	
93-8	7192-7196	lika	N	NOUN	_	_	lik	_	_	_	ENG30-13863186-n	4	ENG30-03265874-n;ENG30-05929008-n;ENG30-10288763-n;ENG30-13863186-n	*	simple_wsd - ENG30-13863186-n:0.8545::Dvodimenzionalni oblik. - ENG30-05929008-n:0.7856::Glumčev portret nekoga u drami. - ENG30-03265874-n:0.7473::reprezentacija osobe (posebno u obliku skulpture)	
93-9	7196-7197	–	PUNCT	PUNCT	_	_	–	_	_	_	_	_	_	_	_	
93-10	7197-7205	Arijadne	N	PROPN	http://www.wikidata.org/entity/Q184874	PERS	Arijadna	_	_	_	_	_	_	_	_	
93-11	7205-7206	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Ser Vilijam Osler ga je nazvao „velikim imitatorom“ zbog njegovih raznovrsnih oblika.
94-1	7206-7209	Ser	N	NOUN	http://www.wikidata.org/entity/Q209690	ROLE	ser	_	_	_	ENG30-10601526-n	2	ENG30-10271677-n;ENG30-10601526-n	*	simple_wsd - ENG30-10601526-n:0.8072::titula koja se koristi ispred imena viteza ili baroneta - ENG30-10271677-n:0.4813::titulirani pripadnik plemstva	
94-2	7210-7217	Vilijam	N	PROPN	http://www.wikidata.org/entity/Q369668[24]	PERS[24]	Vilijam	_	_	_	_	_	_	_	_	
94-3	7218-7223	Osler	N	PROPN	http://www.wikidata.org/entity/Q369668[24]	PERS[24]	Osler	_	_	_	_	_	_	_	_	
94-4	7224-7226	ga	PRO	PRON	_	_	on	_	_	_	_	_	_	_	_	
94-5	7227-7229	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
94-6	7230-7236	nazvao	V	VERB	_	_	nazvati	_	_	_	ENG30-01028748-v	5	ENG30-00645552-v;ENG30-00691516-v;ENG30-00753881-v;ENG30-00789448-v;ENG30-01028748-v	*	simple_wsd - ENG30-01028748-v:0.8150::Dodeliti nečemu određeno ime. - ENG30-00645552-v:0.6092::odrediti ili razlikovati prirodu problema ili bolesti putem dijagnostičke analize - ENG30-00789448-v:0.6043::Dobiti ili pokušati dobiti na telefon.	
94-7	7237-7238	„	PUNCT	PUNCT	_	_	"	_	_	_	_	_	_	_	_	
94-8	7238-7245	velikim	A	ADJ	_	_	velik	_	_	_	CV0139	11	CV0139;ENG30-00579622-a;ENG30-01114658-a;ENG30-01190683-a;ENG30-01278080-a;ENG30-01278818-a;ENG30-01375909-a;ENG30-01386883-a;ENG30-01467919-a;ENG30-01488616-a;ENG30-01510444-a	*	simple_wsd - CV0139:0.8572::izvanredan ili neuobičajen po stepenu, veličini ili efektu - ENG30-01190683-a:0.8537::Velik po stepenu ili intenzitetu ili broju ili količini. - ENG30-01467919-a:0.8127::koji je velikog slova	
94-9	7246-7256	imitatorom	N	NOUN	_	_	imitator	_	_	_	CV0231	2	CV0231;ENG30-09964411-n	*	simple_wsd - CV0231:0.7248::ono što imitira, oponaša, podražava nešto - ENG30-09964411-n:0.4104::neko ko kopira reči ili ponašanje drugog	
94-10	7256-7257	“	PUNCT	PUNCT	_	_	"	_	_	_	_	_	_	_	_	
94-11	7258-7262	zbog	PREP	ADP	_	_	zbog	_	_	_	_	_	_	_	_	
94-12	7263-7271	njegovih	PRO	DET	_	_	njegov	_	_	_	_	_	_	_	_	
94-13	7272-7283	raznovrsnih	A	ADJ	_	_	raznovrstan	_	_	_	DRJ0-221343/0	1	DRJ0-221343/0	*	simple_wsd - DRJ0-221343/0:0.5453::koji je raznih vrsta, koji se javlja u više vrsta, oblika, raznolik:	
94-14	7284-7290	oblika	N	NOUN	_	_	oblik	_	_	_	ENG30-08111157-n	9	ENG30-00027807-n;ENG30-04677514-n;ENG30-04930478-n;ENG30-05217168-n;ENG30-05839024-n;ENG30-05930736-n;ENG30-06290637-n;ENG30-08111157-n;ENG30-14480065-n	*	simple_wsd - ENG30-08111157-n:0.6174::(biologija) grupa organizama unutar vrste koja se razlikuje na trivijalan način od sličnih grupa - ENG30-04677514-n:0.6113::Viđliva spoljašnjost nekoga ili nečega. - ENG30-00027807-n:0.5955::Prostorno uređenje nečega što ga razlikuje od njegove materije.	
94-15	7290-7291	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Kod osoba s nejasnim simptomima nekada je teško postaviti dijagnozu jer bakterije mogu biti prisutne iako nema infekcije.
95-1	7291-7294	Kod	PREP	ADP	_	_	kod	_	_	_	_	_	_	_	_	
95-2	7295-7300	osoba	N	NOUN	_	_	osoba	_	_	_	ENG30-00007846-n	1	ENG30-00007846-n	*	simple_wsd - ENG30-00007846-n:-0.0483::Ljudsko biće, čovek kao pojedinac	
95-3	7301-7302	s	PREP	ADP	_	_	s	_	_	_	_	_	_	_	_	
95-4	7303-7311	nejasnim	A	ADJ	_	_	nejasan	_	_	_	ENG30-00782216-a	4	ENG30-00702245-a;ENG30-00781974-a;ENG30-00782216-a;ENG30-01980557-a	*	simple_wsd - ENG30-00782216-a:0.5523::bez jasnoće ili razlikovanja - ENG30-00781974-a:0.4979::koji je bez određenog oblika ili granice - ENG30-00702245-a:0.2430::bez definicije ili određenog sadržaja	
95-5	7312-7322	simptomima	N	NOUN	_	_	simptom	_	_	_	ENG30-14299637-n	2	ENG30-14299637-n;ENG30-14301785-n	*	simple_wsd - ENG30-14299637-n:0.9937::U medicini, bilo kakav osećaj ili promena u telesnim funkcijama koje pacijent doživljava a povezuju se s određenom bole… - ENG30-14301785-n:0.7942::u medicini  objektivan dokaz o prisustvu poremećaja ili bolesti.	
95-6	7323-7329	nekada	ADV	ADV	_	_	nekada	_	_	_	ENG30-00118869-b	4	ENG30-00021702-b;ENG30-00060939-b;ENG30-00118869-b;ENG30-00118965-b	*	simple_wsd - ENG30-00118869-b:0.7568::jednom prilikom - ENG30-00060939-b:0.2439::ranije u vremenu; prethodno - ENG30-00021702-b:0.0286::otprilike, pri približnom određivanju vremena	
95-7	7330-7332	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
95-8	7333-7338	teško	ADV	ADV	_	_	teško	_	_	_	ENG30-00091332-b	3	ENG30-00015953-b;ENG30-00091332-b;ENG30-00176383-b	*	simple_wsd - ENG30-00091332-b:0.9020::naporom ili silom ili snagom - ENG30-00176383-b:0.8917::u značajnoj meri - ENG30-00015953-b:0.7503::u velikoj meri	
95-9	7339-7348	postaviti	V	VERB	_	_	postaviti	1	postaviti dijagnozu	LVC.full	CVMWE-0318[2066]	1[2066]	CVMWE-0318[2066]	*[442]	simple_wsd - CVMWE-0318:0.8446::dijagnostikovati, utvrditi od čega osoba boluje[2066]	
95-10	7349-7358	dijagnozu	N	NOUN	_	_	dijagnoza	1	*	LVC.full	CVMWE-0318[2066]	1[2066]	CVMWE-0318[2066]	*[442]	simple_wsd - CVMWE-0318:0.8446::dijagnostikovati, utvrditi od čega osoba boluje[2066]	
95-11	7359-7362	jer	CONJ	SCONJ	_	_	jer	_	_	_	_	_	_	_	_	
95-12	7363-7372	bakterije	N	NOUN	_	_	bakterija	_	_	_	ENG30-01348530-n	1	ENG30-01348530-n	*	simple_wsd - ENG30-01348530-n:0.5475::Jednoćelijski ili nećelijski loptasti, spiralni ili štapičast organizam koji nema hlorofila i reprodukuje se spajanjem;…	
95-13	7373-7377	mogu	V	VERB	_	_	moći	_	_	_	CV0071	6	CV0044;CV0071;CV0124;CV0171;DRJ0-203294/2b.;ENG30-02523221-v	*	simple_wsd - CV0071:0.4063::biti u mogućnosti, imati prilike za nešto, biti u okolnostima za ostvarivanje nečega - ENG30-02523221-v:0.2434::Istrajati ili uspevati. - CV0124:0.1326::biti upotrebljiv, prihvatljiv, odgovarati nekoj nameni ili potrebi.	
95-14	7378-7382	biti	V	AUX	_	_	biti	_	_	_	_	_	_	_	_	
95-15	7383-7391	prisutne	A	ADJ	_	_	prisutan	_	_	_	ENG30-01839404-a	1	ENG30-01839404-a	*	simple_wsd - ENG30-01839404-a:0.0300::Prostorni osećaj; biti ili postojati na određenom mestu.	
95-16	7392-7396	iako	CONJ	SCONJ	_	_	iako	_	_	_	_	_	_	_	_	
95-17	7397-7401	nema	V	VERB	_	_	nemati	_	_	_	ENG30-02633714-v	1	ENG30-02633714-v	*	simple_wsd - ENG30-02633714-v:0.5924::nemati ili ne uključivati	
95-18	7402-7411	infekcije	N	NOUN	_	_	infekcija	_	_	_	ENG30-13498404-n	2	ENG30-07360647-n;ENG30-13498404-n	*	simple_wsd - ENG30-13498404-n:0.9745::(medicina) invazija tela patogenim mikroorganizmima i njihovo umnožavanje koje može dovesti do oštećenja tkiva i bolesti - ENG30-07360647-n:0.9206::incident u kojem se prenosi zarazna bolest	
95-19	7411-7412	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Jedan sat je podeljen na 60 minuta, a jedan minut na 60 sekundi.
96-1	7412-7417	Jedan	NUM	NUM	_	_	jedan	_	_	_	_	_	_	_	_	
96-2	7418-7421	sat	N	NOUN	_	_	sat	_	_	_	ENG30-15228378-n	3	ENG30-03046257-n;ENG30-15227846-n;ENG30-15228378-n	*	simple_wsd - ENG30-15228378-n:0.9458::vreme po časovniku - ENG30-03046257-n:0.8985::uređaj koji pokazuje doba dana - ENG30-15227846-n:0.8174::period vremena koji iznosi 1/24 dana	
96-3	7422-7424	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
96-4	7425-7433	podeljen	V	VERB	_	_	podeliti	_	_	_	ENG30-01563724-v	7	ENG30-00642098-v;ENG30-01063930-v;ENG30-01563724-v;ENG30-02031158-v;ENG30-02201644-v;ENG30-02255268-v;ENG30-02294436-v	*	simple_wsd - ENG30-01563724-v:0.6055::podeliti na delove, komade ili sekcije - ENG30-02294436-v:0.5915::Razdeliti na male komade. - ENG30-02255268-v:0.5014::dozvoliti kome da šta ima	
96-5	7434-7436	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	
96-6	7437-7439	60	NUM	NUM	_	_	60	_	_	_	_	_	_	_	_	
96-7	7440-7446	minuta	N	NOUN	_	_	minut	_	_	_	ENG30-15234764-n	1	ENG30-15234764-n	*	simple_wsd - ENG30-15234764-n:0.9393::jedinica vremena koja iznosi 60 sekundi ili 1/60 sata	
96-8	7446-7447	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
96-9	7448-7449	a	CONJ	CCONJ	_	_	a	_	_	_	_	_	_	_	_	
96-10	7450-7455	jedan	NUM	NUM	_	_	jedan	_	_	_	_	_	_	_	_	
96-11	7456-7461	minut	N	NOUN	_	_	minut	_	_	_	ENG30-15234764-n	1	ENG30-15234764-n	*	simple_wsd - ENG30-15234764-n:0.8669::jedinica vremena koja iznosi 60 sekundi ili 1/60 sata	
96-12	7462-7464	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	
96-13	7465-7467	60	NUM	NUM	_	_	60	_	_	_	_	_	_	_	_	
96-14	7468-7475	sekundi	N	NOUN	_	_	sekunda	_	_	_	ENG30-15235126-n	1	ENG30-15235126-n	*	simple_wsd - ENG30-15235126-n:0.7995::Šezdeseti deo minuta: osnovna jedinica vremena koju je usvojio Međunarodni sitem mernih jedinica.	
96-15	7475-7476	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=U Francuskoj postoji deset velikih luka, a najveća je ona u Marseju, ujedno i najveća od onih koje izlaze na Sredozemno more.
97-1	7476-7477	U	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
97-2	7478-7488	Francuskoj	N	PROPN	http://www.wikidata.org/entity/Q142	LOC	Francuska	_	_	_	_	_	_	_	_	
97-3	7489-7496	postoji	V	VERB	_	_	postojati	_	_	_	ENG30-02603699-v	1	ENG30-02603699-v	*	simple_wsd - ENG30-02603699-v:0.5246::Imati egzistanciju, biti, egzistirati u određenom obliku ili vidu	
97-4	7497-7502	deset	NUM	NUM	_	_	deset	_	_	_	_	_	_	_	_	
97-5	7503-7510	velikih	A	ADJ	_	_	velik	_	_	_	ENG30-01467919-a	11	CV0139;ENG30-00579622-a;ENG30-01114658-a;ENG30-01190683-a;ENG30-01278080-a;ENG30-01278818-a;ENG30-01375909-a;ENG30-01386883-a;ENG30-01467919-a;ENG30-01488616-a;ENG30-01510444-a	*	simple_wsd - ENG30-01467919-a:0.9389::koji je velikog slova - CV0139:0.8940::izvanredan ili neuobičajen po stepenu, veličini ili efektu - ENG30-01488616-a:0.8528::potpuno razvijen (za ljude i životinje).	
97-6	7511-7515	luka	N	NOUN	_	_	luka	_	_	_	ENG30-08633957-n	2	ENG30-08633957-n;ENG30-08639058-n	*	simple_wsd - ENG30-08633957-n:0.7718::mesto (vazdušna ili morska) gde ljudi i roba mogu da uđu ili izađu iz zemlje - ENG30-08639058-n:0.5969::mesto gde brodovi mogu da ukrcavaju ili iskrcavaju tovar	
97-7	7515-7516	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
97-8	7517-7518	a	CONJ	CCONJ	_	_	a	_	_	_	_	_	_	_	_	
97-9	7519-7526	najveća	A	ADJ	_	_	velik	_	_	_	ENG30-01467919-a	11	CV0139;ENG30-00579622-a;ENG30-01114658-a;ENG30-01190683-a;ENG30-01278080-a;ENG30-01278818-a;ENG30-01375909-a;ENG30-01386883-a;ENG30-01467919-a;ENG30-01488616-a;ENG30-01510444-a	*	simple_wsd - ENG30-01467919-a:0.9034::koji je velikog slova - ENG30-01488616-a:0.8885::potpuno razvijen (za ljude i životinje). - CV0139:0.8830::izvanredan ili neuobičajen po stepenu, veličini ili efektu	
97-10	7527-7529	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
97-11	7530-7533	ona	PRO	PRON	_	_	ona	_	_	_	_	_	_	_	_	
97-12	7534-7535	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
97-13	7536-7543	Marseju	N	PROPN	http://www.wikidata.org/entity/Q23482	LOC	Marsej	_	_	_	_	_	_	_	_	
97-14	7543-7544	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
97-15	7545-7551	ujedno	ADV	ADV	_	_	ujedno	_	_	_	DRJ0-183972/2	2	DRJ0-183972/1;DRJ0-183972/2	*	simple_wsd - DRJ0-183972/2:0.5891::na jednome, na istome mestu, zajedno. - DRJ0-183972/1:0.2274::u isti mah, u isto vreme, jednovremeno.	
97-16	7552-7553	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
97-17	7554-7561	najveća	A	ADJ	_	_	velik	_	_	_	ENG30-01467919-a	11	CV0139;ENG30-00579622-a;ENG30-01114658-a;ENG30-01190683-a;ENG30-01278080-a;ENG30-01278818-a;ENG30-01375909-a;ENG30-01386883-a;ENG30-01467919-a;ENG30-01488616-a;ENG30-01510444-a	*	simple_wsd - ENG30-01467919-a:0.9427::koji je velikog slova - CV0139:0.8945::izvanredan ili neuobičajen po stepenu, veličini ili efektu - ENG30-01488616-a:0.8631::potpuno razvijen (za ljude i životinje).	
97-18	7562-7564	od	PREP	ADP	_	_	od	_	_	_	_	_	_	_	_	
97-19	7565-7569	onih	PRO	DET	_	_	onaj	_	_	_	_	_	_	_	_	
97-20	7570-7574	koje	PRO	DET	_	_	koji	_	_	_	_	_	_	_	_	
97-21	7575-7581	izlaze	V	VERB	_	_	izlaziti	_	_	_	ENG30-02741682-v	5	ENG30-01842204-v;ENG30-02016062-v;ENG30-02486232-v;ENG30-02624263-v;ENG30-02741682-v	*	simple_wsd - ENG30-02741682-v:0.7219::obezbeđuju pristup, ulaz nećemu - ENG30-02486232-v:0.6252::izlaziti redovno; imati stalan odnos sa nekim - ENG30-02624263-v:0.5128::nastati; kakvu formu ili oblik preuzeti	
97-22	7582-7584	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	
97-23	7585-7595	Sredozemno	A	ADJ	http://www.wikidata.org/entity/Q4918[25]	LOC[25]	sredozemni	_	_	_	ENG30-03085213-a	1	ENG30-03085213-a	*	simple_wsd - ENG30-03085213-a:0.7379::o Mediteranu ili koji se tiče Mediterana ili je krakatersitično za Mediteran ili se nalazi blizu Mediterana	
97-24	7596-7600	more	N	NOUN	http://www.wikidata.org/entity/Q4918[25]	LOC[25]	more	_	_	_	ENG30-09426788-n	1	ENG30-09426788-n	*	simple_wsd - ENG30-09426788-n:0.3607::Deo okeana ili velikog prostranstva slane vode koji je delimično zatvoren kopnom	
97-25	7600-7601	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=U izvesnom trenutku Genik upoznaje Džozefa Oleskiva, čoveka koji je podsticao imigraciju Ukrajinaca u Kanadu.
98-1	7601-7602	U	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
98-2	7603-7611	izvesnom	A	ADJ	_	_	izvestan	_	_	_	ENG30-00335421-a	4	ENG30-00335421-a;ENG30-00340239-a;ENG30-00700884-a;ENG30-02087342-a	*	simple_wsd - ENG30-00335421-a:0.6878::utvrđeno tako da rezultat nije više sumnjiv ni upitan; definitivno poznat - ENG30-00340239-a:0.5907::svakako se dogođa; sudbinski ili neizbežan - ENG30-02087342-a:0.5759::koji je utvrđen neopozivo	
98-3	7612-7620	trenutku	N	NOUN	_	_	trenutak	_	_	_	ENG30-15245515-n	3	ENG30-15244650-n;ENG30-15245515-n;ENG30-15246353-n	*	simple_wsd - ENG30-15245515-n:0.5602::Pogodan trenutak. - ENG30-15246353-n:0.5137::period neodređene dužine (obično kratko) obeležen nekom radnjom ili stanjem - ENG30-15244650-n:0.4819::Određena tačka u vremenu.	
98-4	7621-7626	Genik	N	PROPN	http://www.wikidata.org/entity/Q550785	PERS	Genik	_	_	_	_	_	_	_	_	
98-5	7627-7635	upoznaje	V	VERB	_	_	upoznavati	_	_	_	ENG30-02596113-v	2	ENG30-00874175-v;ENG30-02596113-v	*	simple_wsd - ENG30-02596113-v:0.7335::upoznati se; upoznati se s - ENG30-00874175-v:0.5858::učiniti znanim ili poznatim	
98-6	7636-7643	Džozefa	N	PROPN	http://www.wikidata.org/entity/Q6285936[26]	PERS[26]	Džozef	_	_	_	_	_	_	_	_	
98-7	7644-7652	Oleskiva	N	PROPN	http://www.wikidata.org/entity/Q6285936[26]	PERS[26]	Oleskiv	_	_	_	_	_	_	_	_	
98-8	7652-7653	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
98-9	7654-7660	čoveka	N	NOUN	_	_	čovek	_	_	_	ENG30-10288516-n	6	ENG30-02472293-n;ENG30-10287213-n;ENG30-10288516-n;ENG30-10288763-n;ENG30-10289039-n;ENG30-10289176-n	*	simple_wsd - ENG30-10288516-n:0.7450::Muška osoba koja igra značajnu ulogu (muž, ljubavnik ili momak) u životu određene žene. - ENG30-10288763-n:0.6406::odrasla muška osoba koja ima muževan karakter (muževit i hrabar kompetentan) - ENG30-10289176-n:0.4852::muški podređeni	
98-10	7661-7665	koji	PRO	DET	_	_	koji	_	_	_	_	_	_	_	_	
98-11	7666-7668	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
98-12	7669-7678	podsticao	V	VERB	_	_	podsticati	_	_	_	ENG30-02554647-v	7	ENG30-00771961-v;ENG30-00794079-v;ENG30-00858781-v;ENG30-02116118-v;ENG30-02505358-v;ENG30-02554647-v;ENG30-02554922-v	*	simple_wsd - ENG30-02554647-v:0.8114::pokrenuti/pokretati na akciju, pobuditi, obodriti - ENG30-00794079-v:0.7777::pružiti potreban podstrek za šta - ENG30-00858781-v:0.7732::podsticati ili ohrabrivati, naročito povicima	
98-13	7679-7689	imigraciju	N	NOUN	_	_	imigracija	_	_	_	ENG30-08413834-n	2	ENG30-00056311-n;ENG30-08413834-n	*	simple_wsd - ENG30-08413834-n:0.5853::telo imigranata koji stižu u određenom intervalu - ENG30-00056311-n:0.2647::odseliti se na neko mesto (posebno: odseliti se u određenu zemlju u kojoj niste rođeni da biste se tamo nastanili)	
98-14	7690-7700	Ukrajinaca	N	PROPN	http://www.wikidata.org/entity/Q44806	DEMO	Ukrajinac	_	_	_	_	_	_	_	_	
98-15	7701-7702	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
98-16	7703-7709	Kanadu	N	PROPN	http://www.wikidata.org/entity/Q16	LOC	Kanada	_	_	_	_	_	_	_	_	
98-17	7709-7710	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Od 1871. bila je deo Nemačkog carstva.
99-1	7710-7712	Od	PREP	ADP	_	_	od	_	_	_	_	_	_	_	_	
99-2	7713-7718	1871.	A	ADJ	_	_	1871.	_	_	_	_	_	_	_	_	
99-3	7719-7723	bila	V	AUX	_	_	biti	_	_	_	_	_	_	_	_	
99-4	7724-7726	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
99-5	7727-7730	deo	N	NOUN	_	_	deo	_	_	_	ENG30-08548733-n	8	ENG30-01085098-n;ENG30-03892891-n;ENG30-05867413-n;ENG30-05868954-n;ENG30-08548733-n;ENG30-09385911-n;ENG30-13289159-n;ENG30-13809207-n	*	simple_wsd - ENG30-08548733-n:0.9464::teritorijalna i administrativna podela nekih zemalja (kao što je Francuska) - ENG30-03892891-n:0.7175::Nešto što je manje od celine ljudske tvorevine. - ENG30-13809207-n:0.6949::Nešto određeno prema nečem drugom što ga sadrži.	
99-6	7731-7739	Nemačkog	A	ADJ	http://www.wikidata.org/entity/Q43287[27]	LOC[27]	nemački	_	_	_	ENG30-02957469-a	2	ENG30-02957469-a;ENG30-06950528-n	*	simple_wsd - ENG30-02957469-a:0.8838::koji se tiče Nemačke, njenih ljudi ili kulture - ENG30-06950528-n:0.7331::standardni nemački jezik; istorijski je nastao od zapadnogermanskog	
99-7	7740-7747	carstva	N	NOUN	http://www.wikidata.org/entity/Q43287[27]	LOC[27]	carstvo	_	_	_	ENG30-08557482-n	4	ENG30-07940448-n;ENG30-07940552-n;ENG30-08052413-n;ENG30-08557482-n	*	simple_wsd - ENG30-08557482-n:0.9740::zemlja kojom upravlja car ili carica - ENG30-08052413-n:0.9202::grupa zemalja pod jedinstvenom vlašću - ENG30-07940552-n:0.6045::Jedna od sedam bioloških kategorija: Monera ili Protoctista ili Plantae ili Fungi ili Animalia.	
99-8	7747-7748	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Ljudi s porodičnom istorijom šizofrenije koji imaju prolaznu psihozu imaju 20–40 % šanse da im se šizofrenija dijagnostikuje godinu dana kasnije.
100-1	7748-7753	Ljudi	N	NOUN	_	_	ljudi	_	_	_	ENG30-08208016-n	3	ENG30-07942152-n;ENG30-08208016-n;ENG30-10289176-n	*	simple_wsd - ENG30-08208016-n:0.5959::Grupa ljudi koji su spremni da se povinuju naređenjima. - ENG30-10289176-n:0.4623::muški podređeni - ENG30-07942152-n:0.2439::Bilo koja grupa ljudskih bića, muškaraca, žena ili dece, zajedno (množina).	
100-2	7754-7755	s	PREP	ADP	_	_	s	_	_	_	_	_	_	_	_	
100-3	7756-7766	porodičnom	A	ADJ	_	_	porodičan	1[196]	porodična istorija[196]	NID[196]	CVMWE-0315[2067]	1[2067]	CVMWE-0315[2067]	*[443]	simple_wsd - CVMWE-0315:0.8928::u medicini, podaci o bolestima i poremećajima direktnih krvnih srodnika pacijenta[2067]	
100-4	7767-7776	istorijom	N	NOUN	_	_	istorija	1[196]	porodična istorija[196]	NID[196]	CVMWE-0315[2067]	1[2067]	CVMWE-0315[2067]	*[443]	simple_wsd - CVMWE-0315:0.8928::u medicini, podaci o bolestima i poremećajima direktnih krvnih srodnika pacijenta[2067]	
100-5	7777-7788	šizofrenije	N	NOUN	_	_	šizofrenija	_	_	_	ENG30-14398523-n	1	ENG30-14398523-n	*	simple_wsd - ENG30-14398523-n:0.9524::bilo koji od nekoliko psihotičnih poremećaja koji se karakterišu distorzijama realnosti i smetnjama mišljenja i jezika …	
100-6	7789-7793	koji	PRO	DET	_	_	koji	_	_	_	_	_	_	_	_	
100-7	7794-7799	imaju	V	VERB	_	_	imati	_	_	_	ENG30-00065370-v	11	ENG30-00065370-v;ENG30-00121046-v;ENG30-01426397-v;ENG30-02047097-v;ENG30-02203362-v;ENG30-02204692-v;ENG30-02205098-v;ENG30-02302220-v;ENG30-02629535-v;ENG30-02704349-v;ENG30-02740745-v	*	simple_wsd - ENG30-00065370-v:0.8812::Patiti od nečega; bolovati od nečega. - ENG30-02740745-v:0.8776::biti suočen s nečim - ENG30-02205098-v:0.8549::imati preostalo	
100-8	7800-7808	prolaznu	A	ADJ	_	_	prolazan	_	_	_	ENG30-01753365-a	3	ENG30-01753365-a;ENG30-01755627-a;ENG30-01756292-a	*	simple_wsd - ENG30-01753365-a:0.9147::onaj koji je podložan kvarenju, nestajanju ili propadanju - ENG30-01755627-a:0.8432::nije trajan; ne traje - ENG30-01756292-a:0.3389::onaj koji je kratkog veka	
100-9	7809-7816	psihozu	N	NOUN	_	_	psihoza	_	_	_	ENG30-14398067-n	1	ENG30-14398067-n	*	simple_wsd - ENG30-14398067-n:0.9638::bilo koji ozbiljan mentalni poremećaj u kome se dodir sa stvarnošću gubi ili se umnogome iskrivljuje	
100-10	7817-7822	imaju	V	VERB	_	_	imati	_	_	_	ENG30-00065370-v	11	ENG30-00065370-v;ENG30-00121046-v;ENG30-01426397-v;ENG30-02047097-v;ENG30-02203362-v;ENG30-02204692-v;ENG30-02205098-v;ENG30-02302220-v;ENG30-02629535-v;ENG30-02704349-v;ENG30-02740745-v	*	simple_wsd - ENG30-00065370-v:0.8963::Patiti od nečega; bolovati od nečega. - ENG30-02740745-v:0.8863::biti suočen s nečim - ENG30-02205098-v:0.8718::imati preostalo	
100-11	7823-7825	20	NUM	NUM	_	_	20	_	_	_	_	_	_	_	_	
100-12	7825-7826	–	PUNCT	PUNCT	_	_	–	_	_	_	_	_	_	_	_	
100-13	7826-7828	40	NUM	NUM	_	_	40	_	_	_	_	_	_	_	_	
100-14	7829-7830	%	PUNCT	SYM	_	_	%	_	_	_	_	_	_	_	_	
100-15	7831-7836	šanse	N	NOUN	_	_	šansa	_	_	_	ENG30-14485064-n	1	ENG30-14485064-n	*	simple_wsd - ENG30-14485064-n:0.5961::Prilika da se nešto učini.	
100-16	7837-7839	da	CONJ	SCONJ	_	_	da	_	_	_	_	_	_	_	_	
100-17	7840-7842	im	PRO	PRON	_	_	oni	_	_	_	_	_	_	_	_	
100-18	7843-7845	se	PAR	PART	_	_	se	_	_	_	_	_	_	_	_	
